Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1668074572875,10/11/2022 10:02:52,1668074574255,1,10/11/2022 11:02:54,102467,5,task-4atu,,25152195,39,7339254,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1397x786,1397x671,,preTest,1,157,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1668074574077,10/11/2022 10:02:54,1668074575507,1,10/11/2022 11:02:55,102467,5,task-4atu,,25152195,39,7339254,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1397x786,1397x671,,preTest,1,157,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_text,1194.300000011921,,,No,1,0,1,0,,,,,,preTest,
3,1668074575258,10/11/2022 10:02:55,1668074576684,1,10/11/2022 11:02:56,102467,5,task-4atu,,25152195,39,7339254,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1397x786,1397x671,,preTest,1,157,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,2371.7000000178814,,,,,0,1,0,,,,,,preTest,
4,1668074575336,10/11/2022 10:02:55,1668074576688,1,10/11/2022 11:02:56,102467,5,task-4atu,,25152195,39,7339254,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1397x786,1397x671,,preTest,1,157,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,2433,,,,,0,1,0,,,,,,,
1,1671017774803,14/12/2022 11:36:14,1671017774728,1,14/12/2022 12:36:14,102467,5,task-4atu,,25948112,71,7636780,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,,preTest,1,,,,preTest,173,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1671017792350,14/12/2022 11:36:32,1671017792272,1,14/12/2022 12:36:32,102467,5,task-4atu,,25948112,71,7636780,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,17486.599999964237,,,Yes,1,0,1,0,,,,,,preTest,
3,1671017795796,14/12/2022 11:36:35,1671017795750,1,14/12/2022 12:36:35,102467,5,task-4atu,,25948112,71,7636780,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,,preTest,1,,,,preTest,173,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,20954,,,,,0,1,0,,,,,,preTest,
4,1671017795895,14/12/2022 11:36:35,1671017795753,1,14/12/2022 12:36:35,102467,5,task-4atu,,25948112,71,7636780,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,,preTest,1,,,,preTest,173,Spreadsheet1,,,END TASK,,,,,21025,,,,,0,1,0,,,,,,,
1,1669378528917,25/11/2022 12:15:28,1669378528818,1,25/11/2022 13:15:28,102467,5,task-4atu,,25475813,69,7475581,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1233x609,,preTest,1,,,,preTest,188,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1669378534745,25/11/2022 12:15:34,1669378534697,1,25/11/2022 13:15:34,102467,5,task-4atu,,25475813,69,7475581,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1233x609,,preTest,1,,,,preTest,188,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,5812.800000000745,,,Yes,1,0,1,0,,,,,,preTest,
3,1669378536455,25/11/2022 12:15:36,1669378536410,1,25/11/2022 13:15:36,102467,5,task-4atu,,25475813,69,7475581,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1233x609,,preTest,1,,,,preTest,188,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,7525.4000000003725,,,,,0,1,0,,,,,,preTest,
4,1669378536534,25/11/2022 12:15:36,1669378536414,1,25/11/2022 13:15:36,102467,5,task-4atu,,25475813,69,7475581,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1233x609,,preTest,1,,,,preTest,188,Spreadsheet1,,,END TASK,,,,,7596,,,,,0,1,0,,,,,,,
1,1669044574914,21/11/2022 15:29:34,1669044576298,1,21/11/2022 16:29:36,102467,5,task-4atu,,25377049,67,7475580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1440x900,1440x781,,preTest,1,,,,preTest,168,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1669044581005,21/11/2022 15:29:41,1669044582460,1,21/11/2022 16:29:42,102467,5,task-4atu,,25377049,67,7475580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1440x900,1440x781,,preTest,1,,,,preTest,168,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,6138.400000095367,,,Yes,1,0,1,0,,,,,,preTest,
3,1669044582572,21/11/2022 15:29:42,1669044584023,1,21/11/2022 16:29:44,102467,5,task-4atu,,25377049,67,7475580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1440x900,1440x781,,preTest,1,,,,preTest,168,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,7701.299999952316,,,,,0,1,0,,,,,,preTest,
4,1669044582674,21/11/2022 15:29:42,1669044584026,1,21/11/2022 16:29:44,102467,5,task-4atu,,25377049,67,7475580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1440x900,1440x781,,preTest,1,,,,preTest,168,Spreadsheet1,,,END TASK,,,,,7728,,,,,0,1,0,,,,,,,
1,1669044348002,21/11/2022 15:25:48,1669044347883,1,21/11/2022 16:25:47,102467,5,task-4atu,,25376847,68,7475579,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1680x829,,preTest,1,,,,preTest,178,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
