Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1667816540857,07/11/2022 10:22:20,1667816540159,1,07/11/2022 11:22:20,102467,5,task-fwvh,,25061699,60,7401880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x746,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667816571868,07/11/2022 10:22:51,1667816571214,1,07/11/2022 11:22:51,102467,5,task-fwvh,,25061699,60,7401880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x746,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,30994.59999999404,,,,,0,1,0,,,,,,title,
3,1667816574926,07/11/2022 10:22:54,1667816574282,1,07/11/2022 11:22:54,102467,5,task-fwvh,,25061699,60,7401880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x746,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,3048.2000000029802,,,,,0,1,0,,,,,,va,
4,1667816576090,07/11/2022 10:22:56,1667816575447,1,07/11/2022 11:22:55,102467,5,task-fwvh,,25061699,60,7401880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x746,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1152.8999999910593,,,,,0,1,0,,,,,,cs,
5,1667816577908,07/11/2022 10:22:57,1667816577267,1,07/11/2022 11:22:57,102467,5,task-fwvh,,25061699,60,7401880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x746,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,1808.4000000059605,,,,,0,1,0,,,,,,end,
6,1667816578002,07/11/2022 10:22:58,1667816577275,1,07/11/2022 11:22:57,102467,5,task-fwvh,,25061699,60,7401880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1519x746,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,,,END TASK,,,,,37115,,,,,0,1,0,,,,,,,
1,1668169390326,11/11/2022 12:23:10,1668169391509,1,11/11/2022 13:23:11,102467,5,task-fwvh,,25185053,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1668169623143,11/11/2022 12:27:03,1668169624285,1,11/11/2022 13:27:04,102467,5,task-fwvh,,25185053,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,232728.80000001192,,,,,0,1,0,,,,,,title,
3,1668169624239,11/11/2022 12:27:04,1668169625493,1,11/11/2022 13:27:05,102467,5,task-fwvh,,25185053,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,1172.9000000059605,,,,,0,1,0,,,,,,va,
4,1668169625100,11/11/2022 12:27:05,1668169626334,1,11/11/2022 13:27:06,102467,5,task-fwvh,,25185053,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,832.2000000029802,,,,,0,1,0,,,,,,cs,
5,1668169626319,11/11/2022 12:27:06,1668169627575,1,11/11/2022 13:27:07,102467,5,task-fwvh,,25185053,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,1230,,,,,0,1,0,,,,,,end,
6,1668169626419,11/11/2022 12:27:06,1668169627578,1,11/11/2022 13:27:07,102467,5,task-fwvh,,25185053,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x720,,chartTest,2,,onlineFirst,178,no_preTest,,Spreadsheet1,,,END TASK,,,,,236069,,,,,0,1,0,,,,,,,
1,1668164010522,11/11/2022 10:53:30,1668163993670,1,11/11/2022 11:53:13,102467,5,task-fwvh,,25183062,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x979,,chartTest,2,,onlineFirst,168,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1668164156496,11/11/2022 10:55:56,1668164139670,1,11/11/2022 11:55:39,102467,5,task-fwvh,,25183062,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x979,,chartTest,2,,onlineFirst,168,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,145973.20000004768,,,,,0,1,0,,,,,,title,
3,1668164159771,11/11/2022 10:55:59,1668164142953,1,11/11/2022 11:55:42,102467,5,task-fwvh,,25183062,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x979,,chartTest,2,,onlineFirst,168,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,3271.4000000953674,,,,,0,1,0,,,,,,va,
4,1668164163183,11/11/2022 10:56:03,1668164146384,1,11/11/2022 11:55:46,102467,5,task-fwvh,,25183062,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x979,,chartTest,2,,onlineFirst,168,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3421.5,,,,,0,1,0,,,,,,cs,
5,1668164168513,11/11/2022 10:56:08,1668164151707,1,11/11/2022 11:55:51,102467,5,task-fwvh,,25183062,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x979,,chartTest,2,,onlineFirst,168,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,5314.800000190735,,,,,0,1,0,,,,,,end,
6,1668164168642,11/11/2022 10:56:08,1668164151715,1,11/11/2022 11:55:51,102467,5,task-fwvh,,25183062,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x979,,chartTest,2,,onlineFirst,168,no_preTest,,Spreadsheet1,,,END TASK,,,,,158045,,,,,0,1,0,,,,,,,
