Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1668154441630,11/11/2022 08:14:01,1668154441538,1,11/11/2022 09:14:01,102467,5,task-ysdh,,25171700,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,193,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1668154633543,11/11/2022 08:17:13,1668154633391,1,11/11/2022 09:17:13,102467,5,task-ysdh,,25171700,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,193,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,191788.59999990463,,,,,0,1,0,,,,,,title,
3,1668154633628,11/11/2022 08:17:13,1668154633585,1,11/11/2022 09:17:13,102467,5,task-ysdh,,25171700,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,193,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,173.60000002384186,,,,,0,1,0,,,,,,va,
4,1668154636596,11/11/2022 08:17:16,1668154636557,1,11/11/2022 09:17:16,102467,5,task-ysdh,,25171700,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,193,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2961.2999999523163,,,,,0,1,0,,,,,,cs,
5,1668154652460,11/11/2022 08:17:32,1668154652422,1,11/11/2022 09:17:32,102467,5,task-ysdh,,25171700,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,193,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,15852.799999952316,,,,,0,1,0,,,,,,end,
6,1668154652583,11/11/2022 08:17:32,1668154652430,1,11/11/2022 09:17:32,102467,5,task-ysdh,,25171700,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,chartTest,2,193,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,210893,,,,,0,1,0,,,,,,,
1,1668089306833,10/11/2022 14:08:26,1668089307820,1,10/11/2022 15:08:27,102467,5,task-ysdh,,25158278,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x664,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1668089526315,10/11/2022 14:12:06,1668089526915,1,10/11/2022 15:12:06,102467,5,task-ysdh,,25158278,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x664,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,219015.70000004768,,,,,0,1,0,,,,,,title,
3,1668089528501,10/11/2022 14:12:08,1668089529551,1,10/11/2022 15:12:09,102467,5,task-ysdh,,25158278,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x664,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,2609.399999976158,,,,,0,1,0,,,,,,va,
4,1668089532754,10/11/2022 14:12:12,1668089533787,1,10/11/2022 15:12:13,102467,5,task-ysdh,,25158278,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x664,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,4215.899999976158,,,,,0,1,0,,,,,,cs,
5,1668089534444,10/11/2022 14:12:14,1668089535494,1,10/11/2022 15:12:15,102467,5,task-ysdh,,25158278,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x664,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,1693.300000011921,,,,,0,1,0,,,,,,end,
6,1668089534595,10/11/2022 14:12:14,1668089535505,1,10/11/2022 15:12:15,102467,5,task-ysdh,,25158278,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x664,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,227685,,,,,0,1,0,,,,,,,
